"source","target","hop","path","signs","net_sign","contribution","source_name","target_name","path_name","lr_annotation"
4,3,2,"4->1->3","-,-",1,0.666666666666667,"NK","CD8","NK->Tumor->CD8","NK-->Tumor[LR7] | Tumor-->CD8[LR4/LR5]"
5,1,2,"5->3->1","+,+",1,0.5,"DC","Tumor","DC->CD8->Tumor","DC-+>CD8[LR8/LR9] | CD8-+>Tumor[LR10]"
5,1,2,"5->3->1","+,-",-1,0.5,"DC","Tumor","DC->CD8->Tumor","DC-+>CD8[LR8/LR9] | CD8-->Tumor[LR6]"
1,1,3,"1->2->3->1","+,-,+",-1,0.166666666666667,"Tumor","Tumor","Tumor->Treg->CD8->Tumor","Tumor-+>Treg[LR1] | Treg-->CD8[LR2/LR3] | CD8-+>Tumor[LR10]"
1,1,3,"1->2->3->1","+,-,-",1,0.166666666666667,"Tumor","Tumor","Tumor->Treg->CD8->Tumor","Tumor-+>Treg[LR1] | Treg-->CD8[LR2/LR3] | CD8-->Tumor[LR6]"
1,2,3,"1->3->1->2","-,+,+",-1,0.111111111111111,"Tumor","Treg","Tumor->CD8->Tumor->Treg","Tumor-->CD8[LR4/LR5] | CD8-+>Tumor[LR10] | Tumor-+>Treg[LR1]"
1,3,3,"1->3->1->3","-,+,-",1,0.222222222222222,"Tumor","CD8","Tumor->CD8->Tumor->CD8","Tumor-->CD8[LR4/LR5] | CD8-+>Tumor[LR10] | Tumor-->CD8[LR4/LR5]"
1,2,3,"1->3->1->2","-,-,+",1,0.111111111111111,"Tumor","Treg","Tumor->CD8->Tumor->Treg","Tumor-->CD8[LR4/LR5] | CD8-->Tumor[LR6] | Tumor-+>Treg[LR1]"
1,3,3,"1->3->1->3","-,-,-",-1,0.222222222222222,"Tumor","CD8","Tumor->CD8->Tumor->CD8","Tumor-->CD8[LR4/LR5] | CD8-->Tumor[LR6] | Tumor-->CD8[LR4/LR5]"
2,2,3,"2->3->1->2","-,+,+",-1,0.166666666666667,"Treg","Treg","Treg->CD8->Tumor->Treg","Treg-->CD8[LR2/LR3] | CD8-+>Tumor[LR10] | Tumor-+>Treg[LR1]"
2,3,3,"2->3->1->3","-,+,-",1,0.333333333333333,"Treg","CD8","Treg->CD8->Tumor->CD8","Treg-->CD8[LR2/LR3] | CD8-+>Tumor[LR10] | Tumor-->CD8[LR4/LR5]"
2,2,3,"2->3->1->2","-,-,+",1,0.166666666666667,"Treg","Treg","Treg->CD8->Tumor->Treg","Treg-->CD8[LR2/LR3] | CD8-->Tumor[LR6] | Tumor-+>Treg[LR1]"
2,3,3,"2->3->1->3","-,-,-",-1,0.333333333333333,"Treg","CD8","Treg->CD8->Tumor->CD8","Treg-->CD8[LR2/LR3] | CD8-->Tumor[LR6] | Tumor-->CD8[LR4/LR5]"
3,3,3,"3->1->2->3","+,+,-",-1,0.166666666666667,"CD8","CD8","CD8->Tumor->Treg->CD8","CD8-+>Tumor[LR10] | Tumor-+>Treg[LR1] | Treg-->CD8[LR2/LR3]"
3,1,3,"3->1->3->1","+,-,+",-1,0.166666666666667,"CD8","Tumor","CD8->Tumor->CD8->Tumor","CD8-+>Tumor[LR10] | Tumor-->CD8[LR4/LR5] | CD8-+>Tumor[LR10]"
3,1,3,"3->1->3->1","+,-,-",1,0.166666666666667,"CD8","Tumor","CD8->Tumor->CD8->Tumor","CD8-+>Tumor[LR10] | Tumor-->CD8[LR4/LR5] | CD8-->Tumor[LR6]"
3,3,3,"3->1->2->3","-,+,-",1,0.166666666666667,"CD8","CD8","CD8->Tumor->Treg->CD8","CD8-->Tumor[LR6] | Tumor-+>Treg[LR1] | Treg-->CD8[LR2/LR3]"
3,1,3,"3->1->3->1","-,-,+",1,0.166666666666667,"CD8","Tumor","CD8->Tumor->CD8->Tumor","CD8-->Tumor[LR6] | Tumor-->CD8[LR4/LR5] | CD8-+>Tumor[LR10]"
3,1,3,"3->1->3->1","-,-,-",-1,0.166666666666667,"CD8","Tumor","CD8->Tumor->CD8->Tumor","CD8-->Tumor[LR6] | Tumor-->CD8[LR4/LR5] | CD8-->Tumor[LR6]"
4,3,3,"4->1->2->3","-,+,-",1,0.333333333333333,"NK","CD8","NK->Tumor->Treg->CD8","NK-->Tumor[LR7] | Tumor-+>Treg[LR1] | Treg-->CD8[LR2/LR3]"
4,1,3,"4->1->3->1","-,-,+",1,0.333333333333333,"NK","Tumor","NK->Tumor->CD8->Tumor","NK-->Tumor[LR7] | Tumor-->CD8[LR4/LR5] | CD8-+>Tumor[LR10]"
4,1,3,"4->1->3->1","-,-,-",-1,0.333333333333333,"NK","Tumor","NK->Tumor->CD8->Tumor","NK-->Tumor[LR7] | Tumor-->CD8[LR4/LR5] | CD8-->Tumor[LR6]"
5,2,3,"5->3->1->2","+,+,+",1,0.166666666666667,"DC","Treg","DC->CD8->Tumor->Treg","DC-+>CD8[LR8/LR9] | CD8-+>Tumor[LR10] | Tumor-+>Treg[LR1]"
5,3,3,"5->3->1->3","+,+,-",-1,0.333333333333333,"DC","CD8","DC->CD8->Tumor->CD8","DC-+>CD8[LR8/LR9] | CD8-+>Tumor[LR10] | Tumor-->CD8[LR4/LR5]"
5,2,3,"5->3->1->2","+,-,+",-1,0.166666666666667,"DC","Treg","DC->CD8->Tumor->Treg","DC-+>CD8[LR8/LR9] | CD8-->Tumor[LR6] | Tumor-+>Treg[LR1]"
5,3,3,"5->3->1->3","+,-,-",1,0.333333333333333,"DC","CD8","DC->CD8->Tumor->CD8","DC-+>CD8[LR8/LR9] | CD8-->Tumor[LR6] | Tumor-->CD8[LR4/LR5]"
